record_id,抓取日期,广告ID,产品,核心卖点,日报筛选标签,玩法族,筛选原因,同玩法素材数,建议素材标签
recvjfZ8O4Jg8b,2026-05-10,e876b91db8ee147bf81db9ef1234c71b,AI Mirror: AI Photo & Video,AI 生成个人专属发型与妆容分析报告，包含脸型诊断与色彩测试。,新玩法代表,照片生成发型妆容诊断,当前逻辑会作为日报新玩法代表推送。,1,日报:新玩法代表、玩法族:照片生成发型妆容诊断
recvjfZ8O4QbHq,2026-05-10,e15250f5d78ab46f57f333d97e96e30b,Glam AI:Video & Photo Editor,真人自拍一键生成电影级超级英雄特效视频,新玩法代表,照片生成特效变身视频,当前逻辑会作为日报新玩法代表推送。,1,版权名人风险、擦边露肤风险、日报:新玩法代表、玩法族:照片生成特效变身视频
recvjfZ8O41zlD,2026-05-10,f76fb5ad84925a5eaa43c7ed42b4c0b0,Pixverse:AI Video Generator,普通照片生成逼真 CEO 级别 AI 肖像特效,新玩法代表,自拍生成风格写真肖像,当前逻辑会作为日报新玩法代表推送。,1,日报:新玩法代表、玩法族:自拍生成风格写真肖像
recvjfZ8O41E1H,2026-05-10,30388f375cd7f39eafd8e93aa2834e9e,AI Mirror: AI Photo & Video,两张照片生成逝者天使合影，主打温情纪念风格,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4nlhB,2026-05-10,335a7e72bb0ee5741a3ea988fe24a968,AI Mirror: AI Photo & Video,两张照片一键 AI 融合生成和谐双人合影特效,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4O3V9,2026-05-10,43d2d89fb04970dfab829283f806a4eb,AI Mirror: AI Photo & Video,单张照片生成全套卡通表情包贴纸,老玩法换素材,照片生成贴纸包,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片生成贴纸包。,,日报:老玩法换素材、玩法族:照片生成贴纸包
recvjfZ8O4MPAn,2026-05-10,4c293aacc4f0835ba0198e7dec875bd1,AI Mirror: AI Photo & Video,真人照片生成镜像反差风格 AI 艺术画,老玩法换素材,照片转手绘插画风格,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片转手绘插画风格。,,日报:老玩法换素材、玩法族:照片转手绘插画风格
recvjfZ8O4xF2v,2026-05-10,5f8b75bac68262bae5fab2fbb8e7c6d4,AI Mirror: AI Photo & Video,两张人像一键融合生成逼真亲属感合影特效,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O41bkB,2026-05-10,a4f5c48c8e2b7cd851240791f488e642,AI Mirror: AI Photo & Video,单人照片一键生成温馨手绘涂鸦风格艺术画,老玩法换素材,双人照片融合合影,玩法族近 7 天已出现，首次玩法日期 2026-05-07；匹配历史玩法：双人照片融合合影。,,日报:老玩法换素材、玩法族:双人照片融合合影
recvjfZ8O4knVP,2026-05-10,b3178c65285cbcda1eec46ac0d7e3907,AI Mirror: AI Photo & Video,真人照片一键生成手绘艺术风格特效,老玩法换素材,照片转手绘插画风格,玩法族近 7 天已出现，首次玩法日期 2026-05-06；匹配历史玩法：照片转手绘插画风格。,,日报:老玩法换素材、玩法族:照片转手绘插画风格
